Make,Model,Engine_Size_L_x,Cylinders_x,Transmission_x,CO2_Canada,Year,Engine_Size_L_y,Cylinders_y,Transmission_y,CO2_US
HYUNDAI,SONATA HYBRID,2.0,4,AM6,133,2025,2.0,4,Auto(AM-S6),188
HYUNDAI,TUCSON AWD,1.6,4,AM7,219,2025,2.5,4,Auto(S8),339
HYUNDAI,TUCSON AWD,2.0,4,AS6,240,2025,2.5,4,Auto(S8),339
KIA,SORENTO AWD,2.0,4,AS6,259,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,2.0,4,AS6,259,2025,2.5,4,Auto(S8),357
KIA,SORENTO AWD,2.4,4,AS6,245,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,2.4,4,AS6,245,2025,2.5,4,Auto(S8),357
KIA,SORENTO AWD,3.3,6,AS6,275,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,3.3,6,AS6,275,2025,2.5,4,Auto(S8),357
KIA,SOUL,1.6,4,AS6,206,2025,2.0,4,Auto(AV),302
KIA,SOUL,1.6,4,M6,208,2025,2.0,4,Auto(AV),302
